127.0.0.1 - - [15/Oct/2023:23:57:50 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:57:54 +0700] "GET /Ebook-App/ HTTP/1.1" 200 11686
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:57:54 +0700] "GET /Ebook-App/book/java.jpg HTTP/1.1" 200 150055
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:57:54 +0700] "GET /Ebook-App/book/sql.jpg HTTP/1.1" 200 174312
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:57:54 +0700] "GET /Ebook-App/all_component/style.css HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:57:54 +0700] "GET /Ebook-App/book/linux.jpg HTTP/1.1" 200 254742
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:57:54 +0700] "GET /Ebook-App/book/story.jpg HTTP/1.1" 200 162936
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:57:55 +0700] "GET /Ebook-App/book/1.PNG HTTP/1.1" 200 3305341
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:57:55 +0700] "GET /Ebook-App/img/b.webp HTTP/1.1" 200 20762
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:57:57 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:58:00 +0700] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4931
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:58:07 +0700] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:58:07 +0700] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 6158
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:58:07 +0700] "GET /Ebook-App/admin/style.css HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:58:43 +0700] "GET /Ebook-App/admin/orders.jsp HTTP/1.1" 200 7548
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:58:49 +0700] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 6158
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:58:52 +0700] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 8556
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:58:52 +0700] "GET /Ebook-App/book/2.jpg HTTP/1.1" 200 700110
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:58:52 +0700] "GET /Ebook-App/book/IMG_1376.JPG HTTP/1.1" 200 2060261
0:0:0:0:0:0:0:1 - - [15/Oct/2023:23:58:59 +0700] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 6158
